path	matched_axis	final_disposition	owner_milestone
docs/core/targeted-build-certs-external-import-closure-design.md	v0.7+v0.8	Rewrite completed host-toolchain chronology version-neutrally and remove retired live links.	M7
docs/generated-artifact-release-policy.md	v0.8	Replace current host and compatibility claims with the v0.9-only policy.	M7
docs/generated-artifact-release-runbook.md	v0.8	Replace runnable v0.8 commands and links with v0.9 release commands.	M7
npa-core/README.md	v0.7+v0.8	Remove v0.7/v0.8 links and runnable lanes; document only the v0.9 current toolchain.	M7
npa-core/checkers/npa-checker-ext/README.md	v0.7+v0.8	Remove old toolchain instructions and update the current checker contract to v0.4/v0.9.	M4/M5/M7
npa-core/checkers/npa-checker-ext/scripts/toolchain-v0.7.sh	v0.7	Delete after v0.9 release-candidate gates supersede it.	M7
npa-core/checkers/npa-checker-ext/scripts/toolchain-v0.8.sh	v0.8	Delete after the one-time baseline and v0.9 replacement gates are recorded.	M7
npa-core/crates/npa-cli/examples/inspect_ext_v0_3_policy.rs	v0.7+v0.8	Remove embedded old-host branches and update or rename the retained current-checker policy example.	M5/M7
npa-core/crates/npa-cli/examples/inspect_ext_v0_7_policy.rs	v0.7 filename	Delete.	M7
npa-core/crates/npa-cli/examples/inspect_ext_v0_8_policy.rs	v0.8 filename	Delete after replacement by the v0.9 lane.	M7
npa-core/crates/npa-cli/examples/verify_ext_v0_7_facade.rs	v0.7 filename	Delete.	M7
npa-core/crates/npa-cli/examples/verify_ext_v0_8_facade.rs	v0.8 filename	Delete after replacement by the v0.9 lane.	M7
npa-core/crates/npa-cli/src/bin/npa-checker-ext-toolchain-evidence.rs	v0.8	Update the evidence collector to accept only the v0.9/current checker identities; remove old-host branches.	M5
npa-core/crates/npa-cli/src/checker_ext_toolchain_evidence.rs	v0.7+v0.8	Remove v0.7/v0.8 host allowlists and evidence paths; advance to v0.9 identities.	M5
npa-core/crates/npa-cli/tests/checker_ext_toolchain_evidence.rs	v0.7+v0.8	Replace compatibility assertions with v0.9-only positive and retired-host negative coverage.	M5
npa-core/docs/README.md	v0.7+v0.8	Remove retired reference links and point current readers only to the v0.9 reference.	M7
npa-core/docs/core-spec-v0.3.0.md	v0.8	Retain the version-scoped core history, but strip live v0.8 toolchain links and runnable compatibility claims.	M7
npa-core/docs/npa-checker-ext-ocaml.md	v0.7+v0.8	Replace old toolchain commands and current claims with the v0.4/v0.9 checker workflow.	M4/M7
npa-core/docs/npa-toolchain-reference-v0.5.0.md	v0.8	Retain as historical; replace its forward link with the self-contained v0.9 reference.	M7
npa-core/docs/npa-toolchain-reference-v0.6.0.md	v0.8	Retain as historical; replace its forward link with the self-contained v0.9 reference.	M7
npa-core/docs/npa-toolchain-reference-v0.7.0.md	v0.7+v0.8	Delete.	M7
npa-core/docs/npa-toolchain-reference-v0.8.0.md	v0.7+v0.8	Delete after its one-time baseline inputs are summarized non-executably.	M7
npa-core/docs/package-artifact-refresh-command-design.md	v0.8	Replace current-host references and runnable commands with v0.9 equivalents.	M7
npa-core/docs/package-build-selected-source-fail-fast-design.md	v0.8	Rewrite completed host chronology version-neutrally and point current instructions to v0.9.	M7
npa-core/docs/promotion-origin-registry-reconciliation.md	v0.7+v0.8	Remove old host compatibility wording and update current operational examples to v0.9.	M6/M7
npa-core/testdata/release-manifest/README.md	v0.8	Update fixture documentation to the v0.9-only host matrix.	M5/M7
npa-lean-exporter/docs/cli-design.md	v0.7+v0.8	Rewrite historical host chronology version-neutrally and update the live exporter pin to v0.9/v0.4.	M6/M7
npa-mathlib/docs/usage-evidence-driven-interface-adoption-design-todo.md	v0.7	Rewrite completed host chronology version-neutrally.	M7
npa-mathlib/interface-proposals/README.md	v0.7	Remove the retired host reference and point current operations to v0.9.	M6/M7
scripts/check-no-python-outside-npa-web.sh	v0.7+v0.8	Remove allowlist entries for deleted old-toolchain files and retain the language-policy gate.	M7
scripts/check-package-api-compatibility.sh	v0.8	Advance expected adjacent npa-cli consumers to 0.9 and remove the old compatibility lane.	M6
